Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE,Out-of-sample Accuracy
100,relu,8,Adam,Xavier,0.0001,0.07090837508440018,3694.2371347211856,0.49473684210526314
100,sigmoid,5,Adam,small_random,0.001,0.05630756542086601,3702.71530858673,0.47368421052631576
300,tanh,8,SGD,Xavier,0.001,0.052159857004880905,3702.7279699463593,0.37894736842105264
200,tanh,8,Adam,Xavier,0,0.05152740702033043,3704.666514201321,0.5684210526315789
300,sigmoid,5,SGD,Xavier,0.001,0.08093627542257309,3715.450489836589,0.6736842105263158
100,sigmoid,5,Adam,small_random,0.0001,0.05173935368657112,3730.1335360034127,0.6947368421052632
300,sigmoid,5,SGD_with_cosine,small_random,0,0.3843124806880951,3731.1787675315036,0.5052631578947369
300,sigmoid,8,Momentum,Xavier,0.0001,0.05591241270303726,3732.0570211019754,0.6631578947368421
200,relu,8,SGD,small_random,0.0001,0.07048656046390533,3740.5800117871686,0.5473684210526316
200,relu,5,Momentum,small_random,0.001,0.2607128322124481,3747.5168740476724,0.6210526315789474
200,relu,5,Momentum,Xavier,0.001,0.260858416557312,3747.5399749515414,0.6210526315789474
300,sigmoid,11,SGD,small_random,0.0001,0.07093673944473267,3757.722976458241,0.6842105263157895
200,sigmoid,8,Adam,small_random,0.0001,0.05240711197257042,3770.7267154998585,0.6
300,relu,8,SGD,small_random,0.0001,0.06345174461603165,3795.835081474002,0.5684210526315789
300,sigmoid,8,SGD,small_random,0.0001,0.11377061903476715,3809.2520513160907,0.5789473684210527
200,tanh,11,Adam,small_random,0.0001,0.08575937896966934,3833.8025390319417,0.6736842105263158
200,relu,11,Momentum,Xavier,0.001,0.047076839953660965,3837.6315839118542,0.6210526315789474
200,relu,8,SGD,small_random,0,0.07940347492694855,3854.294369431802,0.6842105263157895
200,sigmoid,8,SGD,Xavier,0.0001,0.08111800998449326,3865.0417091435093,0.6736842105263158
300,sigmoid,11,Momentum,small_random,0.001,0.0540071576833725,3888.313778622715,0.5789473684210527
300,sigmoid,11,Momentum,small_random,0.0001,0.0648510679602623,3891.7453498968034,0.5578947368421052
200,tanh,11,SGD,Xavier,0,0.05338349565863609,3923.534225003735,0.42105263157894735
200,tanh,8,Adam,small_random,0.0001,0.06362681090831757,3946.3643043451893,0.7263157894736842
100,relu,8,Momentum,small_random,0.001,0.07993878424167633,3960.789493314295,0.37894736842105264
300,relu,5,Momentum,Xavier,0.001,0.047392792999744415,3964.3824713188624,0.6210526315789474
100,sigmoid,8,Adam,Xavier,0.001,0.06891092658042908,3966.7017221006163,0.6105263157894737
300,tanh,5,Adam,small_random,0.0001,0.04988207295536995,3968.7354765013106,0.4421052631578947
300,sigmoid,8,Momentum,Xavier,0,0.05060352757573128,3994.367774255758,0.5894736842105263
200,sigmoid,8,Adam,Xavier,0.0001,0.051968589425086975,4008.400529472431,0.6105263157894737
